player_name,decision_type,round_id,target_card,played_cards,remaining_cards,is_bluffing,bluff_type,challenged_player,was_challenged,challenge_success,observed_player,confidence
Claude,challenge,1,,,,,,ChatGPT,True,False,,0.6
Claude,challenge,1,,,,,,ChatGPT,False,,,0.8
Claude,challenge,1,,,,,,ChatGPT,False,,,0.5
Claude,challenge,1,,,,,,ChatGPT,False,,,0.5
Claude,challenge,1,,,,,,ChatGPT,False,,,0.5
Claude,challenge,1,,,,,,ChatGPT,False,,,0.5
Claude,play,1,Q,Q,"A,A,K,A",False,诚实,,,,,0.5
Claude,play,1,Q,A,"A,K,A",True,纯虚张,,,,,0.5
Claude,play,1,K,K,"A,Q,A,Q",False,诚实,,,,,0.6
Claude,play,1,K,"K,K","Joker,A,A",False,诚实,,,,,0.5
Claude,play,1,K,A,"Joker,A",True,纯虚张,,,,,0.5
Claude,challenge,2,,,,,,ChatGPT,False,,,0.3
Claude,challenge,2,,,,,,ChatGPT,False,,,0.8
Claude,challenge,2,,,,,,ChatGPT,True,False,,0.6
Claude,play,2,A,A,"Q,Q,A,Joker",False,诚实,,,,,0.5
Claude,play,2,A,"A,Joker","Q,Q",False,诚实,,,,,0.5
Claude,play,2,K,"K,K","A,A,Q",False,诚实,,,,,0.6
Claude,play,2,Q,Q,"A,K,Joker,A",False,诚实,,,,,0.5
Claude,challenge,3,,,,,,ChatGPT,True,False,,0.6
Claude,play,3,A,A,"Q,Q,Q,K",False,诚实,,,,,0.5
Claude,challenge,4,,,,,,ChatGPT,False,,,0.5
Claude,challenge,4,,,,,,ChatGPT,False,,,0.5
Claude,challenge,4,,,,,,ChatGPT,False,,,0.5
Claude,play,4,Q,"Q,Q","A,K,K",False,诚实,,,,,0.5
Claude,play,4,A,"A,A","A,Joker,Joker",False,诚实,,,,,0.5
Claude,play,4,Q,"K,K","A,A,K",True,纯虚张,,,,,0.5
Claude,play,4,A,"A,A","Q,Joker,A",False,诚实,,,,,0.6
Claude,challenge,5,,,,,,ChatGPT,False,,,0.6
Claude,challenge,5,,,,,,ChatGPT,False,,,0.5
Claude,play,5,Q,Q,"K,K,A,A",False,诚实,,,,,0.5
Claude,play,5,Q,K,"K,A,A",True,纯虚张,,,,,0.5
Claude,play,5,Q,"Q,Q","A,A,K",False,诚实,,,,,0.3
Claude,challenge,6,,,,,,ChatGPT,True,False,,0.6
Claude,challenge,6,,,,,,ChatGPT,True,False,,0.5
Claude,play,6,K,"Q,Q","A,K,Joker",True,纯虚张,,,,,0.5
Claude,play,6,A,"A,A","K,Q,Q",False,诚实,,,,,0.3
Claude,challenge,7,,,,,,ChatGPT,False,,,0.5
Claude,play,7,K,"K,K","Q,Joker,Q",False,诚实,,,,,0.5
Claude,challenge,8,,,,,,ChatGPT,True,False,,0.5
Claude,challenge,9,,,,,,ChatGPT,False,,,0.8
Claude,challenge,9,,,,,,ChatGPT,True,True,,0.5
Claude,play,9,Q,Q,"K,A,K,A",False,诚实,,,,,0.8
Claude,play,9,Q,K,"A,K,A",True,纯虚张,,,,,0.3
