player_name,decision_type,round_id,target_card,played_cards,remaining_cards,is_bluffing,bluff_type,challenged_player,was_challenged,challenge_success,observed_player,confidence
ChatGPT,challenge,1,,,,,,DeepSeek,False,,,0.5
Claude,challenge,1,,,,,,ChatGPT,True,False,,0.6
DeepSeek,play,1,Q,"Q,Q","K,K,K",False,诚实,,,,,0.3
ChatGPT,play,1,Q,"Q,Q,Joker","A,K",False,诚实,,,,,0.5
DeepSeek,challenge,2,,,,,,Gemini,False,,,0.3
ChatGPT,challenge,2,,,,,,DeepSeek,False,,,0.5
Claude,challenge,2,,,,,,ChatGPT,False,,,0.3
Gemini,challenge,2,,,,,,Claude,False,,,0.8
Gemini,challenge,2,,,,,,Claude,True,False,,0.8
DeepSeek,play,2,A,A,"K,Q,Joker,K",False,诚实,,,,,0.3
ChatGPT,play,2,A,A,"K,Q,K,K",False,诚实,,,,,0.5
Claude,play,2,A,A,"Q,Q,A,Joker",False,诚实,,,,,0.5
Claude,play,2,A,"A,Joker","Q,Q",False,诚实,,,,,0.5
Gemini,play,2,A,A,"K,Q,A,Q",False,诚实,,,,,0.5
ChatGPT,challenge,3,,,,,,DeepSeek,True,False,,0.3
DeepSeek,play,3,Q,"Q,Q,Q","K,K",False,诚实,,,,,0.8
DeepSeek,challenge,4,,,,,,Claude,True,False,,0.3
Claude,challenge,4,,,,,,ChatGPT,False,,,0.5
ChatGPT,play,4,Q,"Q,Q","A,A,A",False,诚实,,,,,0.5
Claude,play,4,Q,"Q,Q","A,K,K",False,诚实,,,,,0.5
ChatGPT,challenge,5,,,,,,DeepSeek,True,False,,0.5
DeepSeek,play,5,A,"A,Joker","K,Q,K",False,诚实,,,,,0.6
DeepSeek,challenge,6,,,,,,Claude,True,True,,0.3
Claude,play,6,K,"Q,Q","A,K,Joker",True,纯虚张,,,,,0.5
